City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
348,Kalaleh,IR,73.76,light rain,37.3807,55.4916,کلاله
350,Kankan,GN,71.33,broken clouds,10.3854,-9.3057,Hotel Bate
351,Corozal,CO,74.19,overcast clouds,9.3151,-75.2928,Hotel Perla De La Sabana
352,Petrolina,BR,75.25,few clouds,-9.3986,-40.5008,JB Hotel
357,Bambanglipuro,ID,77.81,broken clouds,-7.95,110.2833,Puri Brata
358,Salinopolis,BR,78.15,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
360,Ribeira Grande,PT,73.08,few clouds,38.5167,-28.7,Quinta da Meia Eira
363,Jacareacanga,BR,75.38,clear sky,-6.2222,-57.7528,Casa do Ian😎
367,Ranau,MY,77.59,overcast clouds,5.9538,116.6641,The Second Room
369,Corn Island,NI,80.33,scattered clouds,12.1694,-83.0418,Big Fish Guest House
370,Marsh Harbour,BS,82.83,few clouds,26.5412,-77.0636,Abaco Beach Resort
372,Impfondo,CG,71.69,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
375,Iquitos,PE,75.24,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
383,Bengbu,CN,80.62,overcast clouds,32.9408,117.3608,Howard Johnson Nanshan Plaza
384,Muzaffarabad,PK,76.77,overcast clouds,34.37,73.4711,Pearl Continental Muzaffarabad
385,Santa Cruz,BO,72.86,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
387,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
388,Guerrero Negro,MX,72.75,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
389,Vanimo,PG,83.39,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
390,Stettler,CA,82.15,clear sky,52.3168,-112.7186,Ramada by Wyndham Stettler
392,Port Hardy,CA,75.38,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
393,Aneho,TG,76.35,overcast clouds,6.2333,1.6,Hotel La Linette
394,Tingo Maria,PE,72.09,broken clouds,-9.2895,-76.0088,Hospedaje Paraíso
398,Kavieng,PG,84.69,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
400,Tadine,NC,72.82,overcast clouds,-21.55,167.8833,
404,Carutapera,BR,75.85,clear sky,-1.195,-46.02,Lidera
407,Kailua,US,84.18,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
410,Djibo,BF,77.77,light rain,14.1022,-1.6306,Centre Des Ressources DPENA
412,Bahia Honda,CU,80.64,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
413,Florianopolis,BR,70.41,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
414,Prainha,BR,79.0,broken clouds,-1.8,-53.48,Casa Rocha
416,Sarata,UA,73.29,overcast clouds,46.0197,29.6657,Tov Transportnyk 1718
418,Champerico,GT,79.2,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
423,Dingle,PH,84.07,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
426,Sidrolandia,BR,71.37,clear sky,-20.9319,-54.9614,Agropet São Francisco
427,Adre,TD,74.23,overcast clouds,13.4667,22.2,
429,Lethem,GY,77.32,moderate rain,3.3803,-59.7968,Savannah Inn
431,Vila Do Maio,CV,81.39,clear sky,15.1333,-23.2167,Hotel Marilu
432,Ariquemes,BR,74.82,clear sky,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
434,Gorontalo,ID,77.13,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
435,Manzanillo,CU,73.87,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
444,Natchez,US,79.02,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
445,Daru,PG,76.44,overcast clouds,-9.0763,143.2092,Daru Lodge
453,Canoa,DO,78.6,few clouds,18.355,-71.1585,Col julia
456,Lagoa,PT,71.74,clear sky,39.05,-27.9833,Casa Das Faias
459,Cururupu,BR,74.43,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
461,Parambu,BR,73.26,clear sky,-6.2111,-40.6944,Hotel pousada santo onofre
464,Erzin,TR,76.14,clear sky,36.9559,36.2,Artemis Otel
467,Dhemaji,IN,82.47,scattered clouds,27.4833,94.5833,SPOT ON 48710 Hotel Shikha
469,Ketchikan,US,75.67,clear sky,55.3422,-131.6461,Snow's Cove Lodge
471,Tucurui,BR,77.25,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
474,Kudahuvadhoo,MV,82.4,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
476,Flin Flon,CA,75.09,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
479,Yumen,CN,82.27,clear sky,40.2833,97.2,
481,Zhongxing,CN,72.05,overcast clouds,33.7039,118.6792,New Century Grand Hotel Siyang
482,Nouadhibou,MR,73.38,sand,20.931,-17.0347,El Medina
488,Koson,UZ,79.12,clear sky,39.0375,65.585,Hakimov Alisherning uyi
492,Anchorage,US,74.28,smoke,61.2181,-149.9003,Hotel Captain Cook
493,Qui Nhon,VN,83.28,few clouds,13.7667,109.2333,Seagull Hotel
495,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
496,Aykhal,RU,77.22,clear sky,66.0,111.5,
498,Nicoya,CR,76.48,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
500,Amahai,ID,77.94,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
501,Mayo,US,82.38,moderate rain,38.8876,-76.5119,Resorts Resource Group International
502,Pacific Grove,US,75.38,broken clouds,36.6177,-121.9166,Lovers Point Inn
504,Trairi,BR,77.97,overcast clouds,-3.2778,-39.2689,janelas do mar
505,Petropavlovsk-Kamchatskiy,RU,70.39,light rain,53.0452,158.6483,The Hotel Petropavlovsky
507,Jeremie,HT,79.68,scattered clouds,18.65,-74.1167,Auberge’Inn
508,Kieta,PG,83.37,light rain,-6.2167,155.6333,Uruna Bay Retreat
509,Asau,RO,70.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
511,Mareeba,AU,72.45,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
512,Half Moon Bay,US,73.87,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
519,Jabinyanah,TN,82.2,clear sky,35.035,10.9081,maison belmabrouk
520,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
523,Matay,EG,79.63,broken clouds,28.419,30.7792,Nag Aespen
524,Le Moule,GP,78.84,clear sky,16.3332,-61.3473,Lakaz Hananou
525,Kysyl-Syr,RU,84.96,clear sky,63.8986,122.7617,
526,Mirebalais,HT,75.92,overcast clouds,18.8333,-72.1053,Le Jardin
528,Balaghat,IN,79.38,overcast clouds,21.8,80.1833,Hotel celebration
530,Vieques,PR,82.42,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
532,Goshen,US,71.69,clear sky,41.5823,-85.8344,"Holiday Inn Express & Suites Goshen, an IHG Hotel"
535,Salinas,US,81.41,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
537,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
540,Ibra,OM,75.63,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
544,Natal,BR,75.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
550,Blitar,ID,80.13,overcast clouds,-8.0983,112.1681,Hotel Tugu Sri Lestari Blitar
552,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
553,Alcudia,ES,79.25,clear sky,39.8532,3.1214,Zafiro Tropic
554,Puerto Lopez,CO,71.04,broken clouds,4.0845,-72.956,Resguardo Indigena Maguare
562,Rangapara,IN,81.95,scattered clouds,26.8167,92.65,Bidhan
565,Dosso,NE,78.76,overcast clouds,13.049,3.1937,Hotel Toubal
566,Kibara,TZ,72.36,overcast clouds,-2.15,33.45,
572,Portel,BR,76.75,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
574,Binzhou,CN,79.86,overcast clouds,37.3667,118.0167,Hampton By Hilton Binzhou
575,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
576,Tharad,IN,82.42,overcast clouds,24.3961,71.6267,Suresh Parmar
584,Acajutla,SV,78.64,overcast clouds,13.5928,-89.8275,Laureles
585,Havelock,US,83.95,clear sky,34.8791,-76.9013,Sherwood Motel
588,Khandbari,NP,74.98,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
591,Koundara,GN,73.36,clear sky,12.4833,-13.3,Residance B....
593,Bonthe,SL,74.88,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
594,Metro,ID,78.31,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
595,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
596,Batasan,PH,82.94,moderate rain,12.7667,120.7833,Solwara Beach Resort
597,Jiwani,PK,80.62,light rain,25.05,61.7417,Hamza hotel jiwani
599,Ati,TD,78.48,light rain,13.2154,18.3353,
600,Poum,NC,72.05,overcast clouds,-20.2333,164.0167,
604,Tenenkou,ML,73.92,light rain,14.4572,-4.9169,
605,Pundaguitan,PH,83.55,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
606,Chaiya,TH,80.19,scattered clouds,9.3862,99.1986,JP Place
607,North Bend,US,72.91,few clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
608,Mamallapuram,IN,84.25,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
609,Sakti,IN,83.01,overcast clouds,22.0333,82.9667,C.B. Sweet Home
612,Tateyama,JP,83.12,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
615,Porto San Giorgio,IT,76.01,clear sky,43.1827,13.7934,David Palace Hotel
616,Tukrah,LY,77.56,clear sky,32.5341,20.5791,Lagrota restaurant
617,Ormara,PK,81.45,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
618,Balakhninskiy,RU,70.11,overcast clouds,58.0106,114.2769,
624,La Ronge,CA,77.25,broken clouds,55.1001,-105.2842,Northland Motor Hotel
625,Zhangye,CN,82.56,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
626,Akyab,MM,83.93,broken clouds,20.15,92.9,Hotel Memory
627,Dhadar,IN,84.11,overcast clouds,28.3305,75.0632,ढाढर
630,Erdemli,TR,80.56,clear sky,36.605,34.3084,Sun Rice Otel
631,Celestun,MX,81.75,broken clouds,20.8667,-90.4,Posada Lilia
632,Maningrida,AU,83.71,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
633,Saint Anthony,US,72.66,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
634,Bandarbeyla,SO,76.24,overcast clouds,9.4942,50.8122,JABIR HOTEL
642,Fort Nelson,CA,71.19,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
644,Imeni Poliny Osipenko,RU,75.72,overcast clouds,52.4201,136.4853,Yubileynaya
645,Balsas,BR,75.06,clear sky,-7.5325,-46.0356,Novo Hotel
648,Amazar,RU,71.53,clear sky,53.858,120.875,Гостиничный Комплекс Уют
653,Noboribetsu,JP,75.52,broken clouds,42.4514,141.1731,Hotel Izumi
654,Chifeng,CN,73.89,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
656,Dzilam Gonzalez,MX,78.35,overcast clouds,21.2833,-88.9333,posadas
657,Urubicha,BO,71.91,broken clouds,-15.3833,-62.95,
658,Kalmunai,LK,76.95,light rain,7.4167,81.8167,VS Villa
661,Bundaberg,AU,70.21,scattered clouds,-24.85,152.35,Takalvan Motel
662,Matara,LK,77.85,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
664,Mitikas,GR,78.78,clear sky,38.6699,20.9466,DAIS Apartments - Hotel Apartments - Mitikas Etoloakarnanias Hellas 30019
665,Berezovyy,RU,74.77,overcast clouds,51.6667,135.7,"Hotel ""Phoenix"""
669,Tungor,RU,70.97,clear sky,53.3808,142.9564,
674,Sarkand,KZ,82.8,broken clouds,45.41,79.9186,Гостиница Сарканд
